Departamento;Categoria;Cod_ Dpto;Grupo de edad;Población Ambos Sexos 2018;Defunciones Ambos Sexos 2018;TM Ambos Sexos
Quindío;Urbana;63;20-49;229.910;271;0,001178722
Risaralda;Urbana;66;20-49;405.408;463;0,001142059
Valle del Cauca;Urbana;76;20-49;1.868.737;2.086;0,001116262
Atlántico;Urbana;8;20-49;1.100.761;1.184;0,00107562
Magdalena;Urbana;47;20-49;553.066;569;0,00102881
Caldas;Urbana;17;20-49;420.460;431;0,001025068
Norte de Santander;Urbana;54;20-49;650.847;662;0,001017136
Tolima;Urbana;73;20-49;536.626;544;0,001013741
Sucre;Urbana;70;20-49;372.552;372;0,000998518
Bolívar;Urbana;13;20-49;868.415;845;0,000973037
Cesar;Intermedia;20;20-49;509.155;487;0,000956487
Caquetá;Intermedia;18;20-49;166.930;156;0,000934523
Boyacá;Intermedia;15;20-49;500.317;466;0,000931409
Huila;Intermedia;41;20-49;454.546;418;0,000919599
Arauca;Intermedia;81;20-49;114.198;102;0,000893186
Meta;Urbana;50;20-49;460.255;406;0,00088212
Amazonas;Rural;91;20-49;29.504;26;0,000881236
La Guajira;Intermedia;44;20-49;353.259;309;0,000874712
Santander;Urbana;68;20-49;964.570;836;0,000866707
Córdoba;Intermedia;23;20-49;743.130;626;0,000842383
Antioquia;Urbana;5;20-49;2.861.677;2.394;0,000836572
Nariño;Intermedia;52;20-49;719.422;571;0,000793693
Chocó;Intermedia;27;20-49;212.853;166;0,000779881
Cauca;Intermedia;19;20-49;638.155;495;0,000775674
Guaviare;Rural;95;20-49;33.536;26;0,000775286
Casanare;Intermedia;85;20-49;192.906;147;0,000762029
Bogotá;Urbana;11;20-49;3.582.806;2.626;0,000732945
Vichada;Rural;99;20-49;41.039;30;0,000731012
Putumayo;Intermedia;86;20-49;153.486;112;0,000729708
Cundinamarca;Intermedia;25;20-49;1.296.719;922;0,000711025
San Andrés;Intermedia;88;20-49;26.975;17;0,000630213
